Period,InvCapBank,InvResBank,InvComBank,InvComLoan,InvLabBank,InvMacro,ConsumRes,ConsumLab,ConsumCap,Demand,DemandPlan,DemandSurplus,GoodProduction,GoodPrice,Investment,InvestmentRes,InvestmentLab,Repayment,WagesPayment,RepaysPayment,Diff,DividendDecision,DividendPayment,DividendIncome,AccLabBank,AccLabLab,AccLabGood,AccResBank,AccResRes,AccResGood,AccCapBank,AccCapDiv,AccCapGood,AccComBank,AccComLoan,AccComDiv,AccComRes,AccComLab,AccComGood,AccBankComLoan,AccBankComBank,AccBankLabBank,AccBankResBank,AccBankCapBank
23,0.0,0.0,0.0,0.0,0.0,0.0,127.31825007729549,324.16643394637794,103.70183899511066,555.1865230187841,737.5954057582331,-182.40888273944904,8.473353600475903,87.04881686004539,157.5592012215065,126.0473609772052,31.5118402443013,15.75592012215065,327.8201803369925,163.91009016849625,-5.213164617548955,96.06854760081245,100.18125737514555,100.18125737514555,341.22782520671365,1759.11230428336,3.828994611229987,159.14781259661936,2166.921293458228,2.172960930211299,172.83639832518443,100.18125737514555,1.907200818139762,240.1713690020311,913.3834051305489,100.18125737514555,5.068421463653125,27.043573663738854,69.19115821823549,913.3834051305489,240.17136900203104,341.22782520671365,159.14781259661936,172.83639832518443
24,0.0,0.0,0.0,0.0,0.0,0.0,126.30153879722326,327.6374930174618,101.5894900231316,555.5285218378167,743.0295006124104,-187.5009787745937,8.5203587169019,87.2063636403544,155.07421654802278,124.05937323841823,31.014843309604558,15.507421654802277,330.23533360551573,165.11766680275787,-4.878182861664868,93.98328175379287,96.06854760081245,96.06854760081245,344.8815715973282,1831.793955921944,3.915411131065811,157.87692349652906,2261.87939901914,2.1144957523159458,169.31581670521933,96.06854760081245,1.9541870300436006,234.95820438448214,907.0325161835592,96.06854760081245,5.041894439088208,27.318348361416042,71.28663624216682,907.0325161835592,234.9582043844821,344.8815715973282,157.87692349652906,169.31581670521933
25,0.0,0.0,0.0,0.0,0.0,0.0,124.50780635017924,330.1054415761131,98.27692456974012,552.8901724960324,745.0192199484705,-192.12904745243816,8.53188019797539,87.32180980755722,152.83953258869914,122.27162607095931,30.56790651773983,15.283953258869914,331.1196533104314,165.55982665521566,-7.204682705667551,92.03200860912692,93.98328175379288,93.98328175379288,347.4794121853822,1904.274344788151,3.9528070770607098,155.63475793772403,2356.9170240896033,2.082655174041837,163.7948742829002,93.98328175379288,1.9466068855768233,230.08002152281728,896.9890659288242,93.98328175379288,4.962374929536728,27.519611133792978,73.43671991665487,896.9890659288242,230.08002152281722,347.4794121853822,155.63475793772403,163.7948742829002
26,0.0,0.0,0.0,0.0,0.0,0.0,122.71886212680329,331.0689427237155,95.70073888017177,549.4885437306906,741.6312708316611,-192.14272710097055,8.51966502425718,87.04934627360225,152.83296123750767,122.26636899000614,30.566592247501536,15.283296123750768,329.613898147405,164.8069490737025,-6.397719852042314,89.1501355268599,92.03200860912693,92.03200860912693,348.49362391970055,1976.681040345615,3.9779724645091328,153.3985776585041,2452.026159046765,2.0506465961428564,159.50123146695296,92.03200860912693,1.9040995534693863,222.87533881714972,884.2687718623076,92.03200860912693,4.890865042838372,27.593304442535953,75.63696116080519,884.2687718623076,222.87533881714967,348.49362391970055,153.3985776585041,159.50123146695296
27,0.0,0.0,0.0,0.0,0.0,0.0,122.35686761736557,329.6866503762205,93.49950071754488,545.5430187111309,733.9566347294488,-188.41361601831784,8.493923303218523,86.40961408861997,154.63173890759526,123.70539112607622,30.926347781519056,15.463173890759526,326.20294876864386,163.10147438432193,-1.9851921871756986,86.59104758604298,89.15013552685991,89.15013552685991,347.03857934339,2049.2132154999977,4.002131581266777,152.94608452170695,2547.1355042871646,2.0249559975154527,155.83250119590812,89.15013552685991,1.8610247447320105,216.4776189651074,872.2947840261127,89.15013552685991,4.8906547596002445,27.467824845617088,77.84424628500419,872.2947840261127,216.47761896510735,347.03857934339,152.94608452170695,155.83250119590812
28,0.0,0.0,0.0,0.0,0.0,0.0,123.4356864243341,326.3771338490227,90.8898816031339,540.7027018764907,724.6507912400718,-183.94808936358118,8.457468409617956,85.68176150867893,156.8051758402796,125.44414067222368,31.36103516805592,15.680517584027958,322.0670183289208,161.0335091644604,2.372161965122359,86.15279500594104,86.59104758604298,86.59104758604298,343.55487773581336,2122.029636435944,4.01549973702954,154.2946080304176,2642.1872886421215,2.023496683199712,151.48313600522317,86.59104758604298,1.8264596408954017,214.4924267779317,863.825048549386,86.59104758604298,4.948215645043049,27.18357906405366,80.02471680330883,863.825048549386,214.49242677793154,343.55487773581336,154.2946080304176,151.48313600522317
29,0.0,0.0,0.0,0.0,0.0,0.0,125.04244982264572,322.2825241049259,88.31058119287934,535.635555120451,715.8849273284646,-180.2493722080136,8.412259892498517,85.10019144401879,158.62128054003904,126.89702443203123,31.724256108007808,15.862128054003904,318.17107881265093,159.08553940632547,3.950398003541409,87.33839519775285,86.15279500594104,86.15279500594104,339.2447622157115,2195.1907182418677,4.009953604356476,156.30306227830715,2737.1695230152327,2.0476786588195743,147.18430198813223,86.15279500594104,1.7913683220688412,216.86458874305407,859.5967152252052,86.15279500594104,5.017765626888948,26.83891819407674,82.17159247585145,859.5967152252052,216.8645887430538,339.2447622157115,156.30306227830715,147.18430198813223
30,0.0,0.0,0.0,0.0,0.0,0.0,126.52610951015413,318.3766510772646,87.01590948071636,531.9186700681352,709.0256285020906,-177.10695843395547,8.366085215150298,84.74998882608834,160.17543120025002,128.14034496020003,32.035086240050006,16.017543120025003,315.12250155648474,157.56125077824237,3.931608775705058,88.91573601499395,87.33839519775285,87.33839519775285,335.13331692343644,2268.6764616741466,3.9875928516421104,158.15763688769266,2832.0936420379517,2.0836592794706545,145.02651580119394,87.33839519775285,1.754272152877697,220.81498674659548,859.1324563589188,87.33839519775285,5.0758809772812485,26.514256567720906,84.28967669105074,859.1324563589188,220.8149867465952,335.13331692343644,158.15763688769266,145.02651580119394
31,0.0,0.0,0.0,0.0,0.0,0.0,127.81749787019085,315.28520903252365,87.20940091093824,530.3121078136527,705.2572885457662,-174.9451807321135,8.330935314136369,84.65523521099108,161.2505082413323,129.00040659306586,32.250101648266465,16.125050824133233,313.4476837981183,156.72384189905915,3.474947749747912,90.4198803713824,88.91573601499397,88.91573601499397,331.8791674026565,2342.4162532111063,3.9560367877599196,159.77187233773856,2926.968028239544,2.118031426225418,145.3490015182304,88.91573601499397,1.7284453915744376,224.74659552230054,861.7466367809266,88.91573601499397,5.125613798408,26.2602084630404,86.37943458821564,861.7466367809266,224.74659552230037,331.8791674026565,159.77187233773856,145.3490015182304
32,0.0,0.0,0.0,0.0,0.0,0.0,128.76382484849088,313.5395600598386,88.23320197337166,530.5365868817012,705.6801976789766,-175.14361079727541,8.31391522613383,84.8794074133391,161.15162646909326,128.9213011752746,32.23032529381865,16.115162646909326,313.6356434128785,156.81782170643925,1.8935666848196888,91.57265231154234,90.41988037138242,90.41988037138242,330.0416421682512,2416.2956128945966,3.922145741412724,160.95478106061358,3021.808011975821,2.145268771493852,147.05533662228612,90.41988037138242,1.7215495417021958,228.22154327204845,866.2733031231998,90.41988037138242,5.1600162637226346,26.120640316509864,88.44599527162863,866.2733031231998,228.22154327204817,330.0416421682512,160.95478106061358,147.05533662228612
33,0.0,0.0,0.0,0.0,0.0,0.0,128.88980590991784,313.6308392452265,89.54520901217813,532.0658541673225,706.9237527574466,-174.85789859012402,8.316082314971887,85.0068248464465,161.29401551011134,129.03521240808908,32.25880310202227,16.129401551011135,314.18833455886517,157.09416727943255,1.4695031195046795,92.26646945067297,91.57265231154236,91.57265231154236,330.1377255212911,2490.1593092768567,3.8900487225119584,161.1122573873973,3116.65115992881,2.160601411546759,149.2420150202969,91.57265231154236,1.7281322810375217,230.11510995686814,870.6071078858538,91.57265231154236,5.156852047010983,26.13630361773987,90.50943581786589,870.6071078858538,230.11510995686785,330.1377255212911,161.1122573873973,149.2420150202969
34,0.0,0.0,0.0,0.0,0.0,0.0,129.0061311084548,314.16045979318324,90.76167499179667,533.9282658934347,708.6044191873186,-174.67615329388389,8.32736719967528,85.09345177128135,161.3846346045714,129.10770768365714,32.276926920914285,16.13846346045714,314.9352974165861,157.46764870829304,1.535777238796868,92.86421181636865,92.26646945067296,92.26646945067296,330.6952208349297,2563.976948063618,3.8839807787381924,161.25766388556852,3211.4897514324866,2.1644093397038717,151.2694583196611,92.26646945067296,1.7446413806224685,231.58461307637282,874.8069561165327,92.26646945067296,5.1614084963235625,26.182361213238764,92.56642240577787,874.8069561165327,231.58461307637253,330.6952208349297,161.25766388556852,151.2694583196611
